,Date,MSA,median_listing_price
0,2024-03-01,"New York-Newark-Jersey City, NY-NJ-PA",759900.0
1,2024-03-01,"Los Angeles-Long Beach-Anaheim, CA",1150000.0
2,2024-03-01,"Chicago-Naperville-Elgin, IL-IN-WI",374900.0
3,2024-03-01,"Dallas-Fort Worth-Arlington, TX",439990.0
4,2024-03-01,"Houston-The Woodlands-Sugar Land, TX",362675.0
5,2024-03-01,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",349999.0
6,2024-03-01,"Washington-Arlington-Alexandria, DC-VA-MD-WV",604300.0
7,2024-03-01,"Miami-Fort Lauderdale-Pompano Beach, FL",549000.0
8,2024-03-01,"Atlanta-Sandy Springs-Alpharetta, GA",410000.0
9,2024-03-01,"Boston-Cambridge-Newton, MA-NH",879950.0
10,2024-03-01,"Phoenix-Mesa-Chandler, AZ",534990.0
11,2024-03-01,"Detroit-Warren-Dearborn, MI",239900.0
12,2024-03-01,"San Francisco-Oakland-Berkeley, CA",999000.0
13,2024-03-01,"Seattle-Tacoma-Bellevue, WA",767875.0
14,2024-03-01,"Riverside-San Bernardino-Ontario, CA",599000.0
15,2024-03-01,"Minneapolis-St. Paul-Bloomington, MN-WI",444990.0
16,2024-03-01,"Tampa-St. Petersburg-Clearwater, FL",419000.0
17,2024-03-01,"Denver-Aurora-Lakewood, CO",619900.0
18,2024-03-01,"San Diego-Chula Vista-Carlsbad, CA",998000.0
19,2024-03-01,"St. Louis, MO-IL",292000.0
20,2024-03-01,"Baltimore-Columbia-Towson, MD",335000.0
21,2024-03-01,"Charlotte-Concord-Gastonia, NC-SC",410104.0
22,2024-03-01,"Orlando-Kissimmee-Sanford, FL",439000.0
23,2024-03-01,"Pittsburgh, PA",239900.0
24,2024-03-01,"San Antonio-New Braunfels, TX",339900.0
25,2024-03-01,"Portland-Vancouver-Hillsboro, OR-WA",605000.0
26,2024-03-01,"Austin-Round Rock-Georgetown, TX",549733.0
27,2024-03-01,"Cincinnati, OH-KY-IN",350000.0
28,2024-03-01,"Las Vegas-Henderson-Paradise, NV",470000.0
29,2024-03-01,"Kansas City, MO-KS",425000.0
30,2024-03-01,"Cleveland-Elyria, OH",229900.0
31,2024-03-01,"Sacramento-Roseville-Folsom, CA",635000.0
32,2024-03-01,"Columbus, OH",379900.0
33,2024-03-01,"Indianapolis-Carmel-Anderson, IN",330000.0
34,2024-03-01,"Nashville-Davidson--Murfreesboro--Franklin, TN",558990.0
35,2024-03-01,"Virginia Beach-Norfolk-Newport News, VA-NC",391410.0
36,2024-03-01,"Providence-Warwick, RI-MA",499950.0
37,2024-03-01,"Jacksonville, FL",415000.0
38,2024-03-01,"San Jose-Sunnyvale-Santa Clara, CA",1481397.0
39,2024-03-01,"Milwaukee-Waukesha, WI",365000.0
40,2024-03-01,"Raleigh-Cary, NC",449990.0
41,2024-03-01,"Oklahoma City, OK",320900.0
42,2024-03-01,"Richmond, VA",450000.0
43,2024-03-01,"Louisville/Jefferson County, KY-IN",315000.0
44,2024-03-01,"Memphis, TN-MS-AR",326900.0
45,2024-03-01,"New Orleans-Metairie, LA",329000.0
46,2024-03-01,"Buffalo-Cheektowaga, NY",269980.0
47,2024-03-01,"Hartford-East Hartford-Middletown, CT",399900.0
48,2024-03-01,"Rochester, NY",279900.0
49,2024-03-01,"Birmingham-Hoover, AL",289900.0
50,2024-03-01,"Tucson, AZ",402700.0
51,2024-03-01,"Salt Lake City, UT",579999.0
52,2024-03-01,"Grand Rapids-Kentwood, MI",419880.0
53,2024-03-01,"Tulsa, OK",339923.0
54,2024-03-01,"North Port-Sarasota-Bradenton, FL",515000.0
55,2024-03-01,"Greenville-Anderson, SC",355000.0
56,2024-03-01,"Omaha-Council Bluffs, NE-IA",402418.0
57,2024-03-01,"Worcester, MA-CT",499999.0
58,2024-03-01,"Albany-Schenectady-Troy, NY",435900.0
59,2024-03-01,"Knoxville, TN",450000.0
60,2024-03-01,"Albuquerque, NM",414495.0
61,2024-03-01,"Bridgeport-Stamford-Norwalk, CT",949000.0
62,2024-03-01,"Cape Coral-Fort Myers, FL",474100.0
63,2024-03-01,"New Haven-Milford, CT",400000.0
64,2024-03-01,"Columbia, SC",300000.0
65,2024-03-01,"Charleston-North Charleston, SC",508990.0
66,2024-03-01,"Dayton-Kettering, OH",229900.0
67,2024-03-01,"Allentown-Bethlehem-Easton, PA-NJ",389000.0
68,2024-03-01,"Baton Rouge, LA",305000.0
69,2024-03-01,"Urban Honolulu, HI",750000.0
70,2024-03-01,"Fresno, CA",450000.0
71,2024-03-01,"Greensboro-High Point, NC",319000.0
72,2024-03-01,"Little Rock-North Little Rock-Conway, AR",309900.0
73,2024-03-01,"El Paso, TX",299500.0
74,2024-03-01,"Boise City, ID",580000.0
75,2024-03-01,"Lakeland-Winter Haven, FL",349950.0
76,2024-03-01,"Deltona-Daytona Beach-Ormond Beach, FL",399000.0
77,2024-03-01,"Madison, WI",475000.0
78,2024-03-01,"Akron, OH",212500.0
79,2024-03-01,"Des Moines-West Des Moines, IA",368000.0
80,2024-03-01,"Colorado Springs, CO",495000.0
81,2024-03-01,"Bakersfield, CA",385000.0
82,2024-03-01,"Winston-Salem, NC",335000.0
83,2024-03-01,"Springfield, MA",350000.0
84,2024-03-01,"Oxnard-Thousand Oaks-Ventura, CA",1065000.0
85,2024-03-01,"Durham-Chapel Hill, NC",525000.0
86,2024-03-01,"McAllen-Edinburg-Mission, TX",278000.0
87,2024-03-01,"Palm Bay-Melbourne-Titusville, FL",388283.0
88,2024-03-01,"Toledo, OH",230000.0
89,2024-03-01,"Syracuse, NY",274900.0
90,2024-03-01,"Wichita, KS",325000.0
91,2024-03-01,"Poughkeepsie-Newburgh-Middletown, NY",549000.0
92,2024-03-01,"Stockton, CA",562000.0
93,2024-03-01,"Augusta-Richmond County, GA-SC",304500.0
94,2024-03-01,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",346900.0
95,2024-03-01,"Harrisburg-Carlisle, PA",309950.0
96,2024-03-01,"Portland-South Portland, ME",622700.0
97,2024-03-01,"Spokane-Spokane Valley, WA",510000.0
98,2024-03-01,"Scranton--Wilkes-Barre, PA",234900.0
99,2024-03-01,"Ogden-Clearfield, UT",550000.0
927,2024-02-01,"New York-Newark-Jersey City, NY-NJ-PA",749500.0
928,2024-02-01,"Los Angeles-Long Beach-Anaheim, CA",1137000.0
929,2024-02-01,"Chicago-Naperville-Elgin, IL-IN-WI",359950.0
930,2024-02-01,"Dallas-Fort Worth-Arlington, TX",435000.0
931,2024-02-01,"Houston-The Woodlands-Sugar Land, TX",359990.0
932,2024-02-01,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",339950.0
933,2024-02-01,"Washington-Arlington-Alexandria, DC-VA-MD-WV",599000.0
934,2024-02-01,"Miami-Fort Lauderdale-Pompano Beach, FL",550000.0
935,2024-02-01,"Atlanta-Sandy Springs-Alpharetta, GA",409275.0
936,2024-02-01,"Boston-Cambridge-Newton, MA-NH",854450.0
937,2024-02-01,"Phoenix-Mesa-Chandler, AZ",539995.0
938,2024-02-01,"Detroit-Warren-Dearborn, MI",229450.0
939,2024-02-01,"San Francisco-Oakland-Berkeley, CA",989444.0
940,2024-02-01,"Seattle-Tacoma-Bellevue, WA",765000.0
941,2024-02-01,"Riverside-San Bernardino-Ontario, CA",595000.0
942,2024-02-01,"Minneapolis-St. Paul-Bloomington, MN-WI",434400.0
943,2024-02-01,"Tampa-St. Petersburg-Clearwater, FL",415500.0
944,2024-02-01,"Denver-Aurora-Lakewood, CO",609625.0
945,2024-02-01,"San Diego-Chula Vista-Carlsbad, CA",996500.0
946,2024-02-01,"St. Louis, MO-IL",287450.0
947,2024-02-01,"Baltimore-Columbia-Towson, MD",329500.0
948,2024-02-01,"Charlotte-Concord-Gastonia, NC-SC",400000.0
949,2024-02-01,"Orlando-Kissimmee-Sanford, FL",435000.0
950,2024-02-01,"Pittsburgh, PA",232450.0
951,2024-02-01,"San Antonio-New Braunfels, TX",334900.0
952,2024-02-01,"Portland-Vancouver-Hillsboro, OR-WA",600000.0
953,2024-02-01,"Austin-Round Rock-Georgetown, TX",542000.0
954,2024-02-01,"Cincinnati, OH-KY-IN",336850.0
955,2024-02-01,"Las Vegas-Henderson-Paradise, NV",464900.0
956,2024-02-01,"Kansas City, MO-KS",420725.0
957,2024-02-01,"Cleveland-Elyria, OH",212475.0
958,2024-02-01,"Sacramento-Roseville-Folsom, CA",633034.0
959,2024-02-01,"Columbus, OH",376750.0
960,2024-02-01,"Indianapolis-Carmel-Anderson, IN",318950.0
961,2024-02-01,"Nashville-Davidson--Murfreesboro--Franklin, TN",560243.0
962,2024-02-01,"Virginia Beach-Norfolk-Newport News, VA-NC",384504.0
963,2024-02-01,"Providence-Warwick, RI-MA",499900.0
964,2024-02-01,"Jacksonville, FL",410000.0
965,2024-02-01,"San Jose-Sunnyvale-Santa Clara, CA",1366944.0
966,2024-02-01,"Milwaukee-Waukesha, WI",353950.0
967,2024-02-01,"Raleigh-Cary, NC",439998.0
968,2024-02-01,"Oklahoma City, OK",323326.0
969,2024-02-01,"Richmond, VA",448678.0
970,2024-02-01,"Louisville/Jefferson County, KY-IN",312389.0
971,2024-02-01,"Memphis, TN-MS-AR",324500.0
972,2024-02-01,"New Orleans-Metairie, LA",325000.0
973,2024-02-01,"Buffalo-Cheektowaga, NY",251125.0
974,2024-02-01,"Hartford-East Hartford-Middletown, CT",399900.0
975,2024-02-01,"Rochester, NY",249950.0
976,2024-02-01,"Birmingham-Hoover, AL",286137.0
977,2024-02-01,"Tucson, AZ",400000.0
978,2024-02-01,"Salt Lake City, UT",569000.0
979,2024-02-01,"Grand Rapids-Kentwood, MI",415000.0
980,2024-02-01,"Tulsa, OK",342500.0
981,2024-02-01,"North Port-Sarasota-Bradenton, FL",517450.0
982,2024-02-01,"Greenville-Anderson, SC",357125.0
983,2024-02-01,"Omaha-Council Bluffs, NE-IA",399000.0
984,2024-02-01,"Worcester, MA-CT",499350.0
985,2024-02-01,"Albany-Schenectady-Troy, NY",433960.0
986,2024-02-01,"Knoxville, TN",457450.0
987,2024-02-01,"Albuquerque, NM",412500.0
988,2024-02-01,"Bridgeport-Stamford-Norwalk, CT",869450.0
989,2024-02-01,"Cape Coral-Fort Myers, FL",477000.0
990,2024-02-01,"New Haven-Milford, CT",415750.0
991,2024-02-01,"Columbia, SC",300000.0
992,2024-02-01,"Charleston-North Charleston, SC",494500.0
993,2024-02-01,"Dayton-Kettering, OH",218125.0
994,2024-02-01,"Allentown-Bethlehem-Easton, PA-NJ",369800.0
995,2024-02-01,"Baton Rouge, LA",299450.0
996,2024-02-01,"Urban Honolulu, HI",789750.0
997,2024-02-01,"Fresno, CA",454450.0
998,2024-02-01,"Greensboro-High Point, NC",313950.0
999,2024-02-01,"Little Rock-North Little Rock-Conway, AR",299450.0
1000,2024-02-01,"El Paso, TX",298570.0
1001,2024-02-01,"Boise City, ID",589900.0
1002,2024-02-01,"Lakeland-Winter Haven, FL",350000.0
1003,2024-02-01,"Deltona-Daytona Beach-Ormond Beach, FL",399900.0
1004,2024-02-01,"Madison, WI",494475.0
1005,2024-02-01,"Akron, OH",207823.0
1006,2024-02-01,"Des Moines-West Des Moines, IA",364950.0
1007,2024-02-01,"Colorado Springs, CO",489601.0
1008,2024-02-01,"Bakersfield, CA",379950.0
1009,2024-02-01,"Winston-Salem, NC",329325.0
1010,2024-02-01,"Springfield, MA",350000.0
1011,2024-02-01,"Oxnard-Thousand Oaks-Ventura, CA",1095750.0
1012,2024-02-01,"Durham-Chapel Hill, NC",493663.0
1013,2024-02-01,"McAllen-Edinburg-Mission, TX",275000.0
1014,2024-02-01,"Palm Bay-Melbourne-Titusville, FL",389950.0
1015,2024-02-01,"Toledo, OH",212750.0
1016,2024-02-01,"Syracuse, NY",252450.0
1017,2024-02-01,"Wichita, KS",302450.0
1018,2024-02-01,"Poughkeepsie-Newburgh-Middletown, NY",531875.0
1019,2024-02-01,"Stockton, CA",549500.0
1020,2024-02-01,"Augusta-Richmond County, GA-SC",307942.0
1021,2024-02-01,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",345875.0
1022,2024-02-01,"Harrisburg-Carlisle, PA",302423.0
1023,2024-02-01,"Portland-South Portland, ME",604900.0
1024,2024-02-01,"Spokane-Spokane Valley, WA",503985.0
1025,2024-02-01,"Scranton--Wilkes-Barre, PA",229900.0
1026,2024-02-01,"Ogden-Clearfield, UT",549925.0
1854,2024-01-01,"New York-Newark-Jersey City, NY-NJ-PA",741500.0
1855,2024-01-01,"Los Angeles-Long Beach-Anaheim, CA",1100000.0
1856,2024-01-01,"Chicago-Naperville-Elgin, IL-IN-WI",350448.0
1857,2024-01-01,"Dallas-Fort Worth-Arlington, TX",431088.0
1858,2024-01-01,"Houston-The Woodlands-Sugar Land, TX",359000.0
1859,2024-01-01,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",337375.0
1860,2024-01-01,"Washington-Arlington-Alexandria, DC-VA-MD-WV",589860.0
1861,2024-01-01,"Miami-Fort Lauderdale-Pompano Beach, FL",564500.0
1862,2024-01-01,"Atlanta-Sandy Springs-Alpharetta, GA",409900.0
1863,2024-01-01,"Boston-Cambridge-Newton, MA-NH",809900.0
1864,2024-01-01,"Phoenix-Mesa-Chandler, AZ",535000.0
1865,2024-01-01,"Detroit-Warren-Dearborn, MI",229450.0
1866,2024-01-01,"San Francisco-Oakland-Berkeley, CA",944475.0
1867,2024-01-01,"Seattle-Tacoma-Bellevue, WA",749495.0
1868,2024-01-01,"Riverside-San Bernardino-Ontario, CA",585000.0
1869,2024-01-01,"Minneapolis-St. Paul-Bloomington, MN-WI",425000.0
1870,2024-01-01,"Tampa-St. Petersburg-Clearwater, FL",419450.0
1871,2024-01-01,"Denver-Aurora-Lakewood, CO",599997.0
1872,2024-01-01,"San Diego-Chula Vista-Carlsbad, CA",977000.0
1873,2024-01-01,"St. Louis, MO-IL",277450.0
1874,2024-01-01,"Baltimore-Columbia-Towson, MD",327500.0
1875,2024-01-01,"Charlotte-Concord-Gastonia, NC-SC",400000.0
1876,2024-01-01,"Orlando-Kissimmee-Sanford, FL",435000.0
1877,2024-01-01,"Pittsburgh, PA",234950.0
1878,2024-01-01,"San Antonio-New Braunfels, TX",335525.0
1879,2024-01-01,"Portland-Vancouver-Hillsboro, OR-WA",603772.0
1880,2024-01-01,"Austin-Round Rock-Georgetown, TX",544982.0
1881,2024-01-01,"Cincinnati, OH-KY-IN",329900.0
1882,2024-01-01,"Las Vegas-Henderson-Paradise, NV",460000.0
1883,2024-01-01,"Kansas City, MO-KS",417837.0
1884,2024-01-01,"Cleveland-Elyria, OH",214900.0
1885,2024-01-01,"Sacramento-Roseville-Folsom, CA",629995.0
1886,2024-01-01,"Columbus, OH",369950.0
1887,2024-01-01,"Indianapolis-Carmel-Anderson, IN",310097.0
1888,2024-01-01,"Nashville-Davidson--Murfreesboro--Franklin, TN",559926.0
1889,2024-01-01,"Virginia Beach-Norfolk-Newport News, VA-NC",375000.0
1890,2024-01-01,"Providence-Warwick, RI-MA",504900.0
1891,2024-01-01,"Jacksonville, FL",404950.0
