,index,Close,Cumulative dividends
0,2016-07-01,181.8739013671875,0.0
31,2016-08-01,187.9559783935547,0.0
62,2016-09-01,188.34585571289062,0.0
92,2016-10-01,188.34812927246094,1.082
123,2016-11-01,183.7417449951172,1.082
153,2016-12-01,191.195556640625,1.082
184,2017-01-01,195.79107666015625,2.411
215,2017-02-01,199.37351989746094,2.411
243,2017-03-01,210.02450561523438,2.411
274,2017-04-01,207.38418579101562,3.444
304,2017-05-01,209.9705352783203,3.444
335,2017-06-01,214.08758544921875,3.444
365,2017-07-01,213.7525634765625,4.627
396,2017-08-01,218.6322784423828,4.627
427,2017-09-01,219.0919647216797,4.627
457,2017-10-01,223.1908721923828,5.862
488,2017-11-01,228.75225830078125,5.862
518,2017-12-01,234.94432067871094,5.862
549,2018-01-01,238.28826904296875,7.213
580,2018-02-01,251.4322052001953,7.213
608,2018-03-01,239.038330078125,7.213
639,2018-04-01,235.9165802001953,8.31
669,2018-05-01,237.5572052001953,8.31
700,2018-06-01,245.28514099121094,8.31
730,2018-07-01,244.2973175048828,9.556000000000001
761,2018-08-01,252.92437744140625,9.556000000000001
792,2018-09-01,261.4346618652344,9.556000000000001
822,2018-10-01,263.9024963378906,10.879000000000001
853,2018-11-01,247.4204864501953,10.879000000000001
883,2018-12-01,249.35633850097656,10.879000000000001
914,2019-01-01,227.40093994140625,12.314000000000002
945,2019-02-01,245.72618103027344,12.314000000000002
973,2019-03-01,255.1527557373047,12.314000000000002
1004,2019-04-01,261.22076416015625,13.547000000000002
1034,2019-05-01,266.68597412109375,13.547000000000002
1065,2019-06-01,251.57000732421875,13.547000000000002
1095,2019-07-01,271.5186462402344,14.979000000000003
1126,2019-08-01,270.7655944824219,14.979000000000003
1157,2019-09-01,268.5707702636719,14.979000000000003
1187,2019-10-01,270.5399169921875,16.363000000000003
1218,2019-11-01,282.4413146972656,16.363000000000003
1248,2019-12-01,289.9787902832031,16.363000000000003
1279,2020-01-01,298.40423583984375,17.933000000000003
1310,2020-02-01,298.28375244140625,17.933000000000003
1339,2020-03-01,274.66986083984375,17.933000000000003
1370,2020-04-01,229.55364990234375,19.339000000000002
1400,2020-05-01,263.72320556640625,19.339000000000002
1431,2020-06-01,284.94866943359375,19.339000000000002
1461,2020-07-01,290.8578186035156,20.705000000000002
1492,2020-08-01,305.8447570800781,20.705000000000002
1523,2020-09-01,330.2734375,20.705000000000002
1553,2020-10-01,316.9623718261719,22.044
1584,2020-11-01,307.087890625,22.044
1614,2020-12-01,344.2159729003906,22.044
1645,2021-01-01,353.1066589355469,23.624000000000002
1676,2021-02-01,355.3260192871094,23.624000000000002
1704,2021-03-01,367.9342346191406,23.624000000000002
1735,2021-04-01,379.5906066894531,24.902
1765,2021-05-01,395.4049377441406,24.902
1796,2021-06-01,397.6506042480469,24.902
1826,2021-07-01,409.1802673339844,26.278000000000002
1857,2021-08-01,416.8614501953125,26.278000000000002
1888,2021-09-01,429.49530029296875,26.278000000000002
1918,2021-10-01,414.1247253417969,27.706000000000003
1949,2021-11-01,438.72955322265625,27.706000000000003
1979,2021-12-01,429.6314697265625,27.706000000000003
2010,2022-01-01,454.54974365234375,29.339000000000002
2041,2022-02-01,433.485595703125,29.339000000000002
2069,2022-03-01,411.50274658203125,29.339000000000002
2100,2022-04-01,434.80352783203125,30.705000000000002
2130,2022-05-01,395.520263671875,30.705000000000002
2161,2022-06-01,393.2066650390625,30.705000000000002
2191,2022-07-01,367.5715637207031,32.282000000000004
2222,2022-08-01,396.0428466796875,32.282000000000004
2253,2022-09-01,382.2073669433594,32.282000000000004
2283,2022-10-01,345.7888488769531,33.878
2314,2022-11-01,372.2569274902344,33.878
2344,2022-12-01,394.38787841796875,33.878
2375,2023-01-01,371.9336853027344,35.659
2406,2023-02-01,399.5250244140625,35.659
2434,2023-03-01,383.90582275390625,35.659
2465,2023-04-01,399.6733093261719,37.165
2495,2023-05-01,405.6480407714844,37.165
2526,2023-06-01,411.8083190917969,37.165
2556,2023-07-01,434.366455078125,38.803
2587,2023-08-01,447.3010559082031,38.803
2618,2023-09-01,442.11737060546875,38.803
2648,2023-10-01,420.3616943359375,40.385999999999996
2679,2023-11-01,415.6219787597656,40.385999999999996
2709,2023-12-01,451.4552001953125,40.385999999999996
2740,2024-01-01,469.2902526855469,42.291999999999994
2771,2024-02-01,483.00439453125,42.291999999999994
2800,2024-03-01,506.3548278808594,42.291999999999994
2831,2024-04-01,517.148681640625,43.88699999999999
2861,2024-05-01,495.5480651855469,43.88699999999999
2892,2024-06-01,522.3087158203125,43.88699999999999
2922,2024-07-01,541.8487548828125,45.645999999999994
2953,2024-08-01,539.53369140625,45.645999999999994
2984,2024-09-01,560.0712890625,45.645999999999994
3014,2024-10-01,566.712646484375,47.391999999999996
3045,2024-11-01,569.12451171875,47.391999999999996
3075,2024-12-01,600.52880859375,47.391999999999996
3106,2025-01-01,586.0800170898438,49.358
3137,2025-02-01,601.8200073242188,49.358
3165,2025-03-01,594.1799926757812,49.358
