,month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count
0,202504,28557,"morehead city, nc",472450.0,65.0
3008591,202504,49401,"allendale, mi",503650.0,
3008580,202504,71106,"shreveport, la",407250.0,
3008581,202504,21912,"warwick, md",662500.0,
3008582,202504,86335,"rimrock, az",399950.0,
3008583,202504,4947,"kingfield, me",649000.0,
3008584,202504,19046,"jenkintown, pa",393700.0,
3008585,202504,77532,"crosby, tx",287748.0,
3008586,202504,18434,"jessup, pa",323750.0,
3008587,202504,8057,"moorestown, nj",799925.0,
3008588,202504,7701,"red bank, nj",747249.0,
3008589,202504,20187,"warrenton, va",957500.0,
3008590,202504,66512,"meriden, ks",419625.0,
3008592,202504,97526,"grants pass, or",499500.0,
3008605,202504,4105,"falmouth, me",1084000.0,
3008593,202504,90270,"maywood, ca",648750.0,
3008594,202504,55720,"cloquet, mn",404450.0,
3008595,202504,75237,"dallas, tx",297500.0,
3008596,202504,23669,"hampton, va",280000.0,
3008597,202504,62339,"golden, il",79000.0,
3008598,202504,99101,"addy, wa",470875.0,
3008599,202504,5077,"tunbridge, vt",1325000.0,
3008600,202504,29055,"great falls, sc",179000.0,
3008601,202504,6441,"higganum, ct",577500.0,
3008602,202504,56544,"frazee, mn",400950.0,
3008603,202504,90275,"rancho palos verdes, ca",1998988.0,
3008579,202504,78041,"laredo, tx",430000.0,
3008578,202504,93063,"simi valley, ca",859000.0,
3008577,202504,49716,"brutus, mi",345500.0,
3008576,202504,95816,"sacramento, ca",871250.0,
3008553,202504,60914,"bourbonnais, il",331175.0,
3008554,202504,80758,"wray, co",257175.0,
3008555,202504,28720,,295000.0,
3008556,202504,55771,"orr, mn",394000.0,
3008557,202504,30296,"riverdale, ga",267500.0,
3008558,202504,16735,"kane, pa",146125.0,
3008559,202504,67578,"stafford, ks",142450.0,
3008560,202504,68405,"milford, ne",346250.0,
3008561,202504,25387,"charleston, wv",89000.0,
3008562,202504,18930,"kintnersville, pa",893000.0,
3008563,202504,61813,"bement, il",86775.0,
3008564,202504,21813,"bishopville, md",911200.0,
3008565,202504,98902,"yakima, wa",328000.0,
3008566,202504,76638,"crawford, tx",725725.0,
3008567,202504,15338,"greensboro, pa",99900.0,
3008568,202504,45628,"frankfort, oh",221250.0,
3008569,202504,28611,"collettsville, nc",344675.0,
3008570,202504,31090,"toomsboro, ga",71500.0,
3008571,202504,77580,,295019.0,
3008572,202504,46165,"north salem, in",338388.0,
3008573,202504,65039,"hartsburg, mo",644750.0,
3008574,202504,28659,"north wilkesboro, nc",247250.0,
3008575,202504,1906,"saugus, ma",759900.0,
3008604,202504,66408,"bern, ks",145000.0,
3008606,202504,73857,"sharon, ok",190000.0,
3008551,202504,58456,"kulm, nd",429000.0,
3008646,202504,24963,"peterstown, wv",322464.0,
3008635,202504,75226,"dallas, tx",557000.0,
3008636,202504,66801,"emporia, ks",213075.0,
3008637,202504,89043,"pioche, nv",308750.0,
3008638,202504,92123,"san diego, ca",1041750.0,
3008639,202504,64859,"reeds, mo",170000.0,
3008640,202504,16124,"fredonia, pa",199000.0,
3008641,202504,30721,"dalton, ga",282456.0,
3008642,202504,93704,"fresno, ca",415700.0,
3008643,202504,32757,"mount dora, fl",468450.0,
3008644,202504,23030,"charles city, va",517500.0,
3008645,202504,29166,"ward, sc",202450.0,
3008647,202504,94110,"san francisco, ca",1095000.0,
3008607,202504,37377,"signal mountain, tn",790000.0,
3008648,202504,52361,"williamsburg, ia",223425.0,
3008649,202504,45653,"minford, oh",186750.0,
3008650,202504,94105,"san francisco, ca",1378250.0,
3008651,202504,28348,"hope mills, nc",325450.0,
3008652,202504,76043,"glen rose, tx",531188.0,
3008653,202504,31088,"warner robins, ga",258500.0,
3008654,202504,47471,"worthington, in",133375.0,
3008655,202504,65620,"bruner, mo",562500.0,
3008656,202504,79225,"chillicothe, tx",86000.0,
3008657,202504,95204,"stockton, ca",409950.0,
3008658,202504,95951,"hamilton city, ca",419000.0,
3008634,202504,6250,"mansfield center, ct",579450.0,
3008633,202504,60074,"palatine, il",327450.0,
3008632,202504,54810,"balsam lake, wi",423725.0,
3008631,202504,97146,"warrenton, or",514000.0,
