,State_Alpha,Metro_Area_Name,County_Name,2021,2020,2019,2018
0,AL,"Montgomery, AL MSA",Autauga County,67600,65700,65900,62900
1,AL,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,74300,81000,80500,69400
2,AL,"Barbour County, AL",Barbour County,46400,43800,45200,44500
3,AL,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,78000,73100,74400,71000
4,AL,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,78000,73100,74400,71000
5,AL,"Bullock County, AL",Bullock County,44500,42900,43800,44300
6,AL,"Butler County, AL",Butler County,48400,45800,44300,42300
7,AL,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,63700,61500,56200,56800
8,AL,"Chambers County, AL",Chambers County,53700,51900,50800,48200
9,AL,"Cherokee County, AL",Cherokee County,54800,53400,51400,47900
10,AL,"Chilton County, AL HUD Metro FMR Area",Chilton County,56700,56100,55300,54600
11,AL,"Choctaw County, AL",Choctaw County,51400,48500,49800,49700
12,AL,"Clarke County, AL",Clarke County,54200,53700,53400,49700
13,AL,"Clay County, AL",Clay County,51800,50100,49400,45500
14,AL,"Cleburne County, AL",Cleburne County,55900,54100,52900,51400
15,AL,"Coffee County, AL",Coffee County,67700,66900,65900,65400
16,AL,"Florence-Muscle Shoals, AL MSA",Colbert County,64500,64200,66200,57500
17,AL,"Conecuh County, AL",Conecuh County,41600,40000,36100,34500
18,AL,"Coosa County, AL",Coosa County,50300,49100,45900,44800
19,AL,"Covington County, AL",Covington County,57000,54800,52900,48200
20,AL,"Crenshaw County, AL",Crenshaw County,58200,55600,53400,52900
21,AL,"Cullman County, AL",Cullman County,57300,59700,53100,45100
22,AL,"Dale County, AL",Dale County,59200,57500,58500,59500
23,AL,"Dallas County, AL",Dallas County,43000,40600,38900,38700
24,AL,"DeKalb County, AL",DeKalb County,53000,51000,43000,45900
25,AL,"Montgomery, AL MSA",Elmore County,67600,65700,65900,62900
26,AL,"Escambia County, AL",Escambia County,48700,47400,44700,42800
27,AL,"Gadsden, AL MSA",Etowah County,63500,65000,57100,54100
28,AL,"Fayette County, AL",Fayette County,50000,49900,49500,45800
29,AL,"Franklin County, AL",Franklin County,50600,49300,48100,47300
30,AL,"Dothan, AL HUD Metro FMR Area",Geneva County,63400,61300,57500,52200
