,County,State,Avg_house_price,Avg_property_tax,Tax_per_1000
2,Autauga County,AL,146936.87696747115,444.4517313746065,3.0247800317206903
3,Baldwin County,AL,202331.4502997912,723.2362124782101,3.5745120761335065
4,Barbour County,AL,167223.5884161139,428.7817505258049,2.564122409924836
5,Bibb County,AL,112485.2449990824,261.02037071022204,2.320485417552776
6,Blount County,AL,135643.54897660817,416.483918128655,3.0704292336119714
7,Bullock County,AL,98431.93986065272,311.8078474514118,3.167750710722853
8,Butler County,AL,125475.77123050259,361.75043327556324,2.883030163735892
9,Calhoun County,AL,126768.70997844065,442.37860797374265,3.4896514135781396
10,Chambers County,AL,108070.77483656628,374.0327939127639,3.4609985398772958
11,Cherokee County,AL,126770.45980813762,444.2496416363436,3.5043624698427296
12,Chilton County,AL,120374.60472697637,389.6495517522412,3.2369747143594934
13,Choctaw County,AL,95736.30152082874,227.72757328631255,2.378696165077646
14,Clarke County,AL,100825.46592894584,251.89283634245777,2.4983057010614043
15,Clay County,AL,113312.57646195253,304.379740641057,2.6861955675613816
16,Cleburne County,AL,139688.1224303335,402.10141617176794,2.8785655442702907
17,Coffee County,AL,154979.89873800348,546.5351772084939,3.5264907362755618
18,Colbert County,AL,137344.13495242863,413.59539308963446,3.0113800872013203
19,Conecuh County,AL,85294.9266031419,293.25263971156323,3.4381017885858767
20,Coosa County,AL,101627.61772853186,237.7562326869806,2.3394844629938696
21,Covington County,AL,125812.61364639421,345.85576838202843,2.7489753082634625
22,Crenshaw County,AL,92547.99795970415,304.8712063249171,3.29419558549132
23,Cullman County,AL,153608.95706565678,380.55401897791586,2.4774207588380173
24,Dale County,AL,126188.15360160629,404.0993892746591,3.202355987793098
25,Dallas County,AL,107706.54063890011,374.3631217145168,3.475769618946511
26,DeKalb County,AL,132216.9212564544,363.25839070567986,2.7474425153274153
27,Elmore County,AL,163436.3010215874,431.7893958304442,2.6419430269252824
28,Escambia County,AL,109631.54903379147,364.77214012607214,3.327255186494166
29,Etowah County,AL,126105.07110844478,461.4249920598511,3.6590518367262646
30,Fayette County,AL,121419.63226571768,252.58995650454725,2.080305728086651
31,Franklin County,AL,108643.3524629364,357.0779531324725,3.2866985879719555
32,Geneva County,AL,106855.40642247867,303.549924736578,2.8407540142276004
33,Greene County,AL,90464.71843003413,217.74744027303754,2.4069874316963085
34,Hale County,AL,114495.96136962247,308.27480245829673,2.6924513211702394
35,Henry County,AL,123321.54304882594,383.45136041744314,3.109362329869856
36,Houston County,AL,149841.40931180437,443.61577049694307,2.960568594051494
37,Jackson County,AL,125296.19404456715,342.358509169789,2.732393523844898
38,Jefferson County,AL,190524.4458258146,1244.061147757654,6.529666796118262
39,Lamar County,AL,86113.648409894,363.49381625441697,4.221094135092452
40,Lauderdale County,AL,155338.46809456756,583.2765137478692,3.754874892887317
41,Lawrence County,AL,119593.03487188974,324.10507816113216,2.7100665060328932
42,Lee County,AL,177449.2294645729,845.2057197999825,4.7630847558496985
43,Limestone County,AL,167703.001553938,593.2076551893351,3.537251269760624
44,Lowndes County,AL,113729.54688483322,475.77092511013217,4.183353738249881
45,Macon County,AL,94005.96139288417,388.777441332324,4.135667946711225
46,Madison County,AL,200136.25951338565,897.723209984907,4.485560048776993
47,Marengo County,AL,117696.78217821782,349.9174917491749,2.973042128027985
48,Marion County,AL,102396.15910765022,287.0146269599074,2.8029823526697495
49,Marshall County,AL,147980.85432816538,502.0187338501292,3.3924573292220774
